"Date","Index","Close","Close_scale"
2020-01-02,"EA",107.339996,100
2020-01-03,"EA",107.199997,99.87
2020-01-06,"EA",108.779999,101.34
2020-01-07,"EA",108.389999,100.98
2020-01-08,"EA",109.489998,102
2020-01-09,"EA",109.360001,101.88
2020-01-10,"EA",108.589996,101.16
2020-01-13,"EA",109.82,102.31
2020-01-14,"EA",109.580002,102.09
2020-01-15,"EA",109.610001,102.11
2020-01-16,"EA",111.260002,103.65
2020-01-17,"EA",112.93,105.21
2020-01-21,"EA",112.410004,104.72
2020-01-22,"EA",113.089996,105.36
2020-01-23,"EA",113.480003,105.72
2020-01-24,"EA",112.330002,104.65
2020-01-27,"EA",110.559998,103
2020-01-28,"EA",111.900002,104.25
2020-01-29,"EA",112.209999,104.54
2020-01-30,"EA",111.639999,104.01
2020-01-31,"EA",107.919998,100.54
2020-02-03,"EA",105.040001,97.86
2020-02-04,"EA",107.07,99.75
2020-02-05,"EA",107.82,100.45
2020-02-06,"EA",110,102.48
2020-02-07,"EA",109.089996,101.63
2020-02-10,"EA",108.699997,101.27
2020-02-11,"EA",109.040001,101.58
2020-02-12,"EA",109.720001,102.22
2020-02-13,"EA",108.839996,101.4
2020-02-14,"EA",109.690002,102.19
2020-02-18,"EA",109.459999,101.98
2020-02-19,"EA",109.779999,102.27
2020-02-20,"EA",109.199997,101.73
2020-02-21,"EA",108.010002,100.62
2020-02-24,"EA",107.029999,99.71
2020-02-25,"EA",105.379997,98.17
2020-02-26,"EA",106.540001,99.25
2020-02-27,"EA",102.739998,95.71
2020-02-28,"EA",101.370003,94.44
2020-03-02,"EA",106.889999,99.58
2020-03-03,"EA",106.699997,99.4
2020-03-04,"EA",111.830002,104.18
2020-03-05,"EA",110.209999,102.67
2020-03-06,"EA",107.669998,100.31
2020-03-09,"EA",100.93,94.03
2020-03-10,"EA",103.379997,96.31
2020-03-11,"EA",101.18,94.26
2020-03-12,"EA",93.349998,86.97
2020-03-13,"EA",97.059998,90.42
2020-03-16,"EA",88.669998,82.61
2020-03-17,"EA",95.410004,88.89
2020-03-18,"EA",90.209999,84.04
2020-03-19,"EA",90.059998,83.9
2020-03-20,"EA",86.940002,80.99
2020-03-23,"EA",95.470001,88.94
2020-03-24,"EA",94.300003,87.85
2020-03-25,"EA",89.639999,83.51
2020-03-26,"EA",99.199997,92.42
2020-03-27,"EA",95.370003,88.85
2020-03-30,"EA",97.690002,91.01
2020-03-31,"EA",100.169998,93.32
2020-04-01,"EA",97.529999,90.86
2020-04-02,"EA",102.290001,95.3
2020-04-03,"EA",102.830002,95.8
2020-04-06,"EA",106.510002,99.23
2020-04-07,"EA",106.32,99.05
2020-04-08,"EA",106.800003,99.5
2020-04-09,"EA",105.800003,98.57
2020-04-13,"EA",109.300003,101.83
2020-04-14,"EA",112.029999,104.37
2020-04-15,"EA",113.510002,105.75
2020-04-16,"EA",118.099998,110.02
2020-04-17,"EA",115.150002,107.28
2020-04-20,"EA",115.410004,107.52
2020-04-21,"EA",113.269997,105.52
2020-04-22,"EA",114.57,106.74
2020-04-23,"EA",114.459999,106.63
2020-04-24,"EA",116.309998,108.36
2020-04-27,"EA",116.019997,108.09
2020-04-28,"EA",111.349998,103.74
2020-04-29,"EA",112.779999,105.07
2020-04-30,"EA",114.260002,106.45
2020-05-01,"EA",113.269997,105.52
2020-05-04,"EA",116.830002,108.84
2020-05-05,"EA",119.610001,111.43
2020-05-06,"EA",115.32,107.43
2020-05-07,"EA",116.800003,108.81
2020-05-08,"EA",116.620003,108.65
2020-05-11,"EA",117.370003,109.34
2020-05-12,"EA",116.370003,108.41
2020-05-13,"EA",116.900002,108.91
2020-05-14,"EA",117.120003,109.11
2020-05-15,"EA",118.129997,110.05
2020-05-18,"EA",117.120003,109.11
2020-05-19,"EA",118.540001,110.43
2020-05-20,"EA",119.550003,111.38
2020-05-21,"EA",117.360001,109.33
2020-05-22,"EA",119.82,111.63
2020-05-26,"EA",116.639999,108.66
2020-05-27,"EA",117.379997,109.35
2020-05-28,"EA",121.349998,113.05
2020-05-29,"EA",122.879997,114.48
2020-06-01,"EA",122.779999,114.38
2020-06-02,"EA",122.360001,113.99
2020-06-03,"EA",117.93,109.87
2020-06-04,"EA",117.18,109.17
2020-06-05,"EA",118.32,110.23
2020-06-08,"EA",119.510002,111.34
2020-06-09,"EA",121.07,112.79
2020-06-10,"EA",124.809998,116.28
2020-06-11,"EA",122.419998,114.05
2020-06-12,"EA",121.970001,113.63
2020-06-15,"EA",126.519997,117.87
2020-06-16,"EA",125.730003,117.13
2020-06-17,"EA",128.110001,119.35
2020-06-18,"EA",129.350006,120.5
2020-06-19,"EA",130.190002,121.29
2020-06-22,"EA",129.720001,120.85
2020-06-23,"EA",130.600006,121.67
2020-06-24,"EA",130.869995,121.92
2020-06-25,"EA",130.740005,121.8
2020-06-26,"EA",130.929993,121.98
2020-06-29,"EA",130.690002,121.75
2020-06-30,"EA",132.050003,123.02
2020-07-01,"EA",135.220001,125.97
2020-07-02,"EA",133.839996,124.69
2020-07-06,"EA",134.270004,125.09
2020-07-07,"EA",134.779999,125.56
